Location_name,year,ISO_code,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
East Lothian Council,2020,GB-ELN,-33.93814432989691,-5.425675675675675,2.9174311926605503,-24.388513513513512,-37.96190476190476,12.216494845360824
East Renfrewshire Council,2020,GB-ERW,-21.761904761904763,-3.972972972972973,-50.138888888888886,-40.53307392996109,-42.33968253968254,13.22875816993464
East Riding of Yorkshire,2020,GB-ERY,-32.66220735785953,-6.6257861635220126,59.08843537414966,-21.094594594594593,-32.210691823899374,11.274143302180685
East Sussex,2020,GB-ESX,-33.58255451713396,-9.22741433021807,41.9527027027027,-30.559375,-35.60436137071651,11.757009345794392
Edinburgh,2020,GB-EDH,-51.3582554517134,-17.894080996884735,0.5361842105263158,-58.99065420560748,-50.45171339563863,17.09968847352025
Essex,2020,GB-ESS,-33.97507788161994,-13.654205607476635,29.486754966887418,-51.666666666666664,-36.925233644859816,13.383177570093459
Falkirk,2020,GB-FAL,-32.597972972972975,-13.054054054054054,3.442622950819672,-42.375,-35.25396825396825,12.830985915492958
Fermanagh and Omagh,2020,GB-FMO,-32.30067567567568,-4.013513513513513,-25.19047619047619,-34.016949152542374,-30.746031746031747,10.63111111111111
Fife,2020,GB-FIF,-32.00626959247649,-6.953271028037383,29.300675675675677,-34.106918238993714,-34.21383647798742,11.725856697819315
Flintshire,2020,GB-FLN,-35.604729729729726,-13.716216216216216,-10.935714285714285,-36.141891891891895,-35.87619047619047,12.538181818181819
Glasgow City,2020,GB-GLG,-47.22118380062305,-16.713395638629283,-4.651006711409396,-58.95015576323988,-43.09034267912772,14.286604361370717
Gloucestershire,2020,GB-GLS,-38.1993769470405,-12.962616822429906,26.41554054054054,-29.46728971962617,-35.006230529595015,12.88785046728972
Greater London,2020,GB-BDG,-33.50155763239876,-9.763239875389408,49.391891891891895,-36.27725856697819,-37.389408099688474,12.679127725856699
Greater London,2020,GB-BEN,-37.60747663551402,-9.87227414330218,81.86486486486487,-41.94392523364486,-42.43613707165109,14.903426791277258
Greater London,2020,GB-BEX,-38.76323987538941,-10.825545171339565,40.70608108108108,-44.30218068535826,-40.96884735202492,15.133956386292835
Greater London,2020,GB-BNE,-36.981308411214954,-12.411214953271028,66.17905405405405,-45.11214953271028,-45.30529595015577,16.45482866043614
Greater London,2020,GB-BRY,-39.320872274143305,-10.688473520249222,28.029900332225914,-47.41744548286604,-44.822429906542055,17.062305295950157
Greater London,2020,GB-CMD,-67.11214953271028,-38.06230529595015,3.8821656050955413,-66.24299065420561,-53.57861635220126,19.335443037974684
Greater London,2020,GB-CRY,-41.046728971962615,-9.753894080996885,60.53716216216216,-48.149532710280376,-40.69781931464174,15.60436137071651
Greater London,2020,GB-EAL,-34.84735202492212,-10.822429906542055,56.375,-46.741433021806856,-42.83177570093458,15.616822429906541
Greater London,2020,GB-ENF,-33.900311526479754,-10.838006230529595,36.304054054054056,-40.49844236760124,-38.651090342679126,14.158878504672897
Greater London,2020,GB-GRE,-40.75077881619938,-10.50778816199377,17.142857142857142,-41.80373831775701,-45.63551401869159,16.345794392523363
Greater London,2020,GB-HAV,-38.4797507788162,-11.813084112149532,21.658783783783782,-42.80685358255452,-40.087227414330215,14.53582554517134
Greater London,2020,GB-HCK,-48.97196261682243,-10.177570093457945,59.442567567567565,-50.716510903426794,-47.57943925233645,17.264797507788163
Greater London,2020,GB-HIL,-40.86604361370716,-12.146417445482866,61.21283783783784,-63.601246105919,-40.56386292834891,15.236760124610592
Greater London,2020,GB-HMF,-55.65732087227414,-25.252336448598133,25.618243243243242,-54.875389408099686,-52.4748427672956,18.784565916398712
Greater London,2020,GB-HNS,-35.41121495327103,-13.467289719626168,37.66554054054054,-43.308411214953274,-42.205607476635514,15.22429906542056
Greater London,2020,GB-HRW,-39.359375,-12.495327102803738,68.69830508474577,-44.97507788161994,-41.00934579439252,15.856697819314642
Greater London,2020,GB-HRY,-37.79127725856698,-16.021806853582554,49.45945945945946,-47.610591900311526,-48.76635514018692,16.629283489096572
Greater London,2020,GB-ISL,-61.89408099688473,-22.2803738317757,29.41554054054054,-59.728971962616825,-53.60377358490566,20.62264150943396
Greater London,2020,GB-KEC,-60.85669781931464,-16.761006289308177,-4.1925675675675675,-60.21183800623053,-50.838095238095235,17.97037037037037
Greater London,2020,GB-KTT,-44.42056074766355,-17.38317757009346,36.723404255319146,-48.978193146417446,-46.9748427672956,17.420382165605094
Greater London,2020,GB-LBH,-51.94392523364486,-15.367601246105918,11.732026143790849,-58.021806853582554,-48.47040498442367,18.98753894080997
Greater London,2020,GB-LEW,-34.85358255451713,-5.585669781931464,63.391891891891895,-46.504672897196265,-47.78816199376947,17.67601246105919
Greater London,2020,GB-LND,-77.89408099688474,-61.98730158730159,-68.91746031746031,-71.14953271028037,-64.35885167464114,
Greater London,2020,GB-MRT,-42.80685358255452,-14.663551401869158,33.277027027027025,-50.17133956386293,-45.54828660436137,17.0
Greater London,2020,GB-NWM,-45.02492211838006,-14.018691588785046,110.8108108108108,-48.308411214953274,-44.33644859813084,15.037383177570094
Greater London,2020,GB-RDB,-33.51090342679128,-10.738317757009346,54.82432432432432,-46.04984423676012,-43.389408099688474,15.277258566978194
Greater London,2020,GB-RIC,-42.059375,-11.40880503144654,33.90066225165563,-50.55451713395639,-51.2,18.141914191419144
Greater London,2020,GB-STN,-39.16065573770492,-13.975077881619939,41.25,-49.68847352024922,-43.31132075471698,15.80373831775701
Greater London,2020,GB-SWK,-51.165109034267914,-20.274143302180686,-5.968847352024922,-56.81931464174455,-49.35202492211838,18.542056074766354
Greater London,2020,GB-TWH,-56.63551401869159,-21.84423676012461,-21.39252336448598,-57.35202492211838,-53.161993769470406,19.61993769470405
Greater London,2020,GB-WFT,-30.161993769470406,-9.847352024922118,40.4527027027027,-44.68535825545171,-45.69470404984423,15.669781931464174
Greater London,2020,GB-WND,-45.006230529595015,-16.342679127725855,38.3741935483871,-50.99065420560748,-50.20872274143302,20.037383177570092
Greater London,2020,GB-WSM,-71.11526479750779,-42.28971962616822,-46.283489096573206,-67.34890965732087,-53.4937106918239,18.660194174757283
Greater Manchester,2020,GB-BOL,-36.85981308411215,-13.750778816199377,15.83445945945946,-39.0251572327044,-34.58878504672897,12.348909657320872
Greater Manchester,2020,GB-BUR,-35.797507788161994,-12.809968847352025,30.017006802721088,-36.536184210526315,-38.44025157232704,13.392523364485982
Greater Manchester,2020,GB-MAN,-50.94704049844237,-22.277258566978194,-6.5046728971962615,-61.53894080996885,-41.07165109034268,14.040498442367602
Greater Manchester,2020,GB-OLD,-34.021806853582554,-13.566978193146417,38.0271186440678,-32.712025316455694,-34.348909657320874,11.613707165109034
Greater Manchester,2020,GB-RCH,-30.38317757009346,-14.90031152647975,32.402061855670105,-30.17295597484277,-32.29283489096573,11.862928348909657
Greater Manchester,2020,GB-SKP,-36.88785046728972,-10.785046728971963,22.58445945945946,-48.924528301886795,-40.31464174454829,14.510903426791277
Greater Manchester,2020,GB-SLF,-34.60436137071651,-12.208722741433021,22.06756756756757,-45.15987460815047,-38.96884735202492,13.623052959501557
Greater Manchester,2020,GB-TAM,-36.875389408099686,-8.909657320872274,35.3481228668942,-35.943396226415096,-36.545171339563865,12.651090342679128
Greater Manchester,2020,GB-TRF,-41.06230529595015,-14.850467289719626,-16.574257425742573,-42.553125,-42.38006230529595,15.529595015576325
Greater Manchester,2020,GB-WGN,-36.8006230529595,-10.7601246105919,40.05067567567568,-39.425,-33.85981308411215,11.909657320872274
Gwynedd,2020,GB-GWN,-33.226351351351354,-9.91891891891892,12.874551971326165,-23.866894197952217,-34.44336569579288,9.704761904761904
Hampshire,2020,GB-HAM,-37.85669781931464,-12.485981308411215,34.65695792880259,-34.794392523364486,-36.757009345794394,13.700934579439252
Hartlepool,2020,GB-HPL,-39.611486486486484,-10.233108108108109,-46.8,-25.83445945945946,-29.895622895622896,9.563106796116505
Herefordshire,2020,GB-HEF,-37.38513513513514,-13.131756756756756,22.11904761904762,-25.2027027027027,-28.844444444444445,10.946236559139784
Hertfordshire,2020,GB-HRT,-39.202492211838006,-13.63551401869159,22.693069306930692,-47.60436137071651,-39.60747663551402,15.280373831775702
Highland Council,2020,GB-HLD,-29.118243243243242,-9.709030100334449,41.02040816326531,-30.027027027027028,-35.006349206349206,9.987096774193548
Inverclyde,2020,GB-IVC,-35.30927835051546,-7.489864864864865,-57.666666666666664,-28.956989247311828,-36.354729729729726,9.373134328358208
Isle of Anglesey,2020,GB-AGY,-28.818548387096776,-5.380782918149467,-2.1196581196581197,-22.34013605442177,-30.780405405405407,8.410526315789474
Isle of Wight,2020,GB-IOW,-28.554054054054053,-3.7871621621621623,43.48070175438596,-23.804054054054053,-30.00952380952381,9.707865168539326
Kent,2020,GB-KEN,-35.429906542056074,-11.601246105919003,33.00313479623824,-34.73831775700935,-34.93457943925234,12.794392523364486
Kingston upon Hull,2020,GB-KHL,-36.585669781931465,-11.797507788161994,5.639575971731449,-37.317460317460316,-31.141509433962263,10.18380062305296
Lancashire,2020,GB-LAN,-34.26479750778816,-11.261682242990654,45.346666666666664,-34.96261682242991,-33.218068535825545,11.912772585669781
Leicester,2020,GB-LCE,-45.794392523364486,-16.45482866043614,25.51186440677966,-48.12893081761006,-35.1588785046729,11.965732087227414
Leicestershire,2020,GB-LEC,-36.33956386292835,-11.485981308411215,22.239864864864863,-34.626168224299064,-36.64485981308411,13.236760124610592
Lincolnshire,2020,GB-LIN,-30.517133956386292,-5.968847352024922,50.4222972972973,-29.81761006289308,-30.38317757009346,10.358255451713395
Lisburn and Castlereagh,2020,GB-LBC,-32.817567567567565,-12.60135135135135,-37.30882352941177,-37.70229007633588,-38.47936507936508,14.828897338403042
Luton,2020,GB-LUT,-38.19932432432432,-8.912162162162161,-10.666666666666666,-58.70716510903427,-31.336507936507935,12.04416403785489
Medway,2020,GB-MDW,-38.47157190635451,-9.128712871287128,23.70446735395189,-37.79047619047619,-36.301886792452834,12.75
Merseyside,2020,GB-KWL,-32.672955974842765,-6.905405405405405,9.572687224669604,-34.457142857142856,-33.4937106918239,11.590625
Merseyside,2020,GB-LIV,-43.386292834890966,-16.806853582554517,-11.274143302180685,-52.046728971962615,-38.84423676012461,12.39563862928349
Merseyside,2020,GB-SFT,-33.25545171339564,-8.682242990654206,31.320945945945947,-35.225,-36.99065420560748,12.32398753894081
Merseyside,2020,GB-SHN,-35.1993769470405,-11.118380062305295,27.83108108108108,-35.31428571428572,-34.60436137071651,11.595015576323988
Merseyside,2020,GB-WRL,-33.09345794392523,-9.757009345794392,43.179054054054056,-31.996884735202492,-35.92211838006231,12.024922118380061
Merthyr Tydfil County Borough,2020,GB-MTY,-39.83108108108108,-15.64864864864865,,-30.249056603773585,-33.141891891891895,10.0
Mid Ulster,2020,GB-MUL,-31.033783783783782,-8.141891891891891,-59.0,-30.83219178082192,-28.26031746031746,12.070539419087137
