Location_name,year,ISO_code,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
West Midlands,2020,GB-WLL,-35.018691588785046,-11.38006230529595,19.68581081081081,-34.855345911949684,-32.8006230529595,11.467289719626168
West Midlands,2020,GB-WLV,-39.58255451713396,-13.417445482866043,12.10472972972973,-41.109034267912776,-33.361370716510905,11.26791277258567
West Sussex,2020,GB-WSX,-35.361370716510905,-11.392523364485982,43.00334448160535,-58.373831775700936,-36.373831775700936,12.978193146417446
West Yorkshire,2020,GB-BRD,-35.71339563862929,-13.049844236760125,31.33108108108108,-41.77258566978193,-35.373831775700936,12.077881619937695
West Yorkshire,2020,GB-CLD,-38.545171339563865,-14.953271028037383,-22.033783783783782,-33.040880503144656,-35.0440251572327,12.63551401869159
West Yorkshire,2020,GB-KIR,-35.58255451713396,-11.4797507788162,38.13175675675676,-41.47663551401869,-34.495327102803735,12.60436137071651
West Yorkshire,2020,GB-LDS,-44.90965732087228,-16.021806853582554,27.37012987012987,-53.79127725856698,-42.137071651090345,14.404984423676012
West Yorkshire,2020,GB-WKF,-37.09345794392523,-5.401869158878505,11.256756756756756,-33.83177570093458,-33.557632398753896,11.566978193146417
Wiltshire,2020,GB-WIL,-34.149532710280376,-14.43613707165109,17.35135135135135,-31.381703470031546,-35.79874213836478,12.641744548286605
Windsor and Maidenhead,2020,GB-WNM,-43.76013513513514,-12.277027027027026,4.050675675675675,-43.33445945945946,-43.768253968253966,17.227272727272727
Wokingham,2020,GB-WOK,-39.858108108108105,-18.4222972972973,21.57391304347826,-47.63175675675676,-45.36825396825397,18.960474308300395
Worcestershire,2020,GB-WOR,-34.73831775700935,-13.25233644859813,37.11486486486486,-30.850467289719628,-34.32398753894081,12.22741433021807
Wrexham Principal Area,2020,GB-WRX,-42.4054054054054,-12.787162162162161,-4.576719576719577,-36.61486486486486,-32.74603174603175,12.031007751937985
York,2020,GB-YOR,-41.27652733118971,-16.249180327868853,-0.02422145328719723,-45.74528301886792,-44.91111111111111,13.963087248322148
Aberdeen City,2021,GB-ABE,-33.92054794520548,2.0684931506849313,16.18904109589041,-39.367123287671234,-38.36986301369863,11.205479452054794
Aberdeenshire,2021,GB-ABD,-10.808219178082192,-0.8767123287671232,38.75068493150685,-40.78082191780822,-30.386301369863013,8.758904109589041
Angus Council,2021,GB-ANS,-6.443835616438356,2.8767123287671232,25.353711790393014,-29.504109589041096,-28.71780821917808,8.175718849840255
Antrim and Newtownabbey,2021,GB-ANN,-13.523287671232877,2.5616438356164384,-15.71875,-37.09041095890411,-27.986301369863014,9.427397260273972
Ards and North Down,2021,GB-AND,-12.36986301369863,14.89041095890411,24.254794520547946,-31.326923076923077,-30.035616438356165,9.463013698630137
Argyll and Bute Council,2021,GB-AGB,-0.8707865168539326,11.780821917808218,47.78260869565217,18.731506849315068,-25.92876712328767,7.605351170568562
"Armagh City, Banbridge and Craigavon",2021,GB-ABC,-13.443835616438356,8.273972602739725,20.272727272727273,,-27.506849315068493,7.265753424657534
Bath and North East Somerset,2021,GB-BAS,-28.82191780821918,-6.610958904109589,45.1142061281337,-38.95890410958904,-36.895890410958906,10.898630136986302
Bedford,2021,GB-BDF,-21.915068493150685,-5.287671232876712,7.831050228310502,-43.821917808219176,-26.46027397260274,10.057534246575342
Belfast,2021,GB-BFS,-27.517808219178082,1.8465753424657534,17.016438356164382,-40.21643835616438,-34.0986301369863,10.008219178082191
Blackburn with Darwen,2021,GB-BBD,-22.104109589041094,0.8904109589041096,-36.0,-25.873972602739727,-23.76986301369863,7.331506849315068
Blackpool,2021,GB-BPL,0.3315068493150685,8.824657534246576,37.12903225806452,1.1753424657534246,-18.054794520547944,6.6136986301369864
Blaenau Gwent,2021,GB-BGW,-19.81994459833795,2.4493150684931506,,-42.520446096654275,-20.838356164383562,7.7701149425287355
Borough of Halton,2021,GB-HAL,-19.254794520547946,-0.1917808219178082,2.675,-38.728767123287675,-28.9013698630137,8.164383561643836
Bracknell Forest,2021,GB-BRC,-25.438356164383563,-2.76986301369863,16.640776699029125,-46.52876712328767,-36.99452054794521,11.727793696275072
Bridgend County Borough,2021,GB-BGE,-14.024657534246575,4.821917808219178,18.775862068965516,-41.367123287671234,-28.66849315068493,8.580821917808219
Brighton and Hove,2021,GB-BNH,-24.454794520547946,-6.495890410958904,33.15068493150685,-41.136986301369866,-35.84931506849315,11.2986301369863
Bristol City,2021,GB-BST,-33.3013698630137,-6.610958904109589,54.295890410958904,-47.704109589041096,-38.00821917808219,11.778082191780822
Buckinghamshire,2021,GB-BKM,-23.832876712328765,-5.887671232876713,15.797260273972602,-34.293150684931504,-32.087671232876716,11.139726027397261
Caerphilly County Borough,2021,GB-CAY,-11.106849315068493,-1.0876712328767124,16.176829268292682,-37.704109589041096,-28.167123287671235,8.241095890410959
Cambridgeshire,2021,GB-CAM,-30.112328767123287,-1.5287671232876712,35.654794520547945,-35.602739726027394,-32.367123287671234,11.26849315068493
Cardiff,2021,GB-CRF,-35.16164383561644,-9.189041095890412,5.712328767123288,-44.558904109589044,-43.07397260273972,10.873972602739727
Carmarthenshire,2021,GB-CMN,-20.15068493150685,19.816438356164383,48.861189801699716,-43.36986301369863,-26.0986301369863,7.315068493150685
Causeway Coast and Glens,2021,GB-CCG,-3.745205479452055,18.202739726027396,24.26896551724138,-13.365384615384615,-22.865753424657534,6.471232876712329
Central Bedfordshire,2021,GB-CBF,-19.986301369863014,3.5506849315068494,40.81512605042017,-18.523287671232875,-30.410958904109588,10.517808219178082
Ceredigion,2021,GB-CGN,-5.705128205128205,14.12,31.51145038167939,-42.97674418604651,-35.42191780821918,7.344827586206897
Cheshire East,2021,GB-CHE,-22.863013698630137,0.37534246575342467,34.23013698630137,-17.2986301369863,-31.838356164383562,9.613698630136986
Cheshire West and Chester,2021,GB-CHW,-21.23835616438356,-0.4904109589041096,23.246575342465754,-32.75068493150685,-32.087671232876716,9.312328767123288
Clackmannanshire,2021,GB-CLK,-18.852,3.4794520547945207,,-54.397260273972606,-28.41917808219178,10.582375478927203
Conwy Principal Area,2021,GB-CWY,-4.758904109589041,25.7013698630137,105.23668639053254,-15.98904109589041,-25.545205479452054,6.972602739726027
Cornwall,2021,GB-CON,4.523287671232877,16.726027397260275,141.05205479452056,2.802739726027397,-28.632876712328766,6.6219178082191785
County Durham,2021,GB-DUR,-17.983561643835618,2.463013698630137,45.71780821917808,-26.16986301369863,-24.673972602739727,8.101369863013698
Cumbria,2021,GB-CMA,-12.583561643835617,9.983561643835616,80.36164383561643,-3.7643835616438355,-27.293150684931508,7.2164383561643834
Darlington,2021,GB-DAL,-18.6,1.0136986301369864,-10.938775510204081,-34.704109589041096,-28.235616438356164,8.180821917808219
Denbighshire,2021,GB-DEN,-6.695890410958904,12.394520547945206,25.93312101910828,-28.73972602739726,-26.26027397260274,7.747603833865814
Derby,2021,GB-DER,-24.972602739726028,3.191780821917808,48.53947368421053,-39.66849315068493,-31.660273972602738,8.526027397260274
Derbyshire,2021,GB-DBY,-19.70958904109589,2.1397260273972605,50.586301369863016,-18.684931506849313,-29.96164383561644,8.484931506849316
Derry and Strabane,2021,GB-DRS,-15.057534246575342,14.263013698630138,4.233983286908078,-35.52054794520548,-25.336986301369862,7.112328767123287
Devon,2021,GB-DEV,-14.797260273972602,10.205479452054794,96.74520547945205,-11.276712328767124,-26.095890410958905,7.682191780821918
Dorset,2021,GB-DOR,-19.115068493150684,7.435616438356164,106.4958904109589,-21.72876712328767,-30.235616438356164,8.413698630136986
Dumfries and Galloway,2021,GB-DGY,-9.449315068493151,14.093150684931507,61.64657534246575,-0.4054794520547945,-24.632876712328766,5.863013698630137
Dundee City Council,2021,GB-DND,-25.665753424657535,-1.7315068493150685,17.418848167539267,-29.4,-33.37808219178082,8.558904109589042
East Ayrshire Council,2021,GB-EAY,-16.04931506849315,3.9397260273972603,,-30.994520547945207,-29.602739726027398,8.12054794520548
East Dunbartonshire Council,2021,GB-EDU,-13.594520547945205,10.791780821917808,,-39.0027397260274,-36.64931506849315,13.996168582375478
East Lothian Council,2021,GB-ELN,-10.561643835616438,5.323287671232877,18.642276422764226,-15.92876712328767,-33.61369863013699,11.217252396166135
East Renfrewshire Council,2021,GB-ERW,-11.923287671232877,7.8712328767123285,-20.5,-33.97124600638978,-37.06027397260274,14.28352490421456
East Riding of Yorkshire,2021,GB-ERY,-9.783561643835617,5.164383561643835,109.80440771349862,-21.246575342465754,-25.01095890410959,7.561643835616438
East Sussex,2021,GB-ESX,-17.328767123287673,7.761643835616439,57.602739726027394,-23.46027397260274,-28.043835616438358,8.717808219178082
Edinburgh,2021,GB-EDH,-37.74794520547945,-4.197260273972603,25.301369863013697,-49.04109589041096,-42.88493150684931,13.336986301369864
Essex,2021,GB-ESS,-18.715068493150685,-1.873972602739726,38.24109589041096,-45.602739726027394,-31.673972602739727,9.876712328767123
Falkirk,2021,GB-FAL,-16.493150684931507,-7.024657534246575,28.466666666666665,-44.11506849315069,-31.764383561643836,9.487671232876712
Fermanagh and Omagh,2021,GB-FMO,-16.12876712328767,17.616438356164384,-13.23076923076923,-31.698630136986303,-23.660273972602738,5.233226837060703
Fife,2021,GB-FIF,-16.367123287671234,6.917808219178082,39.728767123287675,-36.49315068493151,-26.517808219178082,8.813698630136987
Flintshire,2021,GB-FLN,-17.53150684931507,-4.1068493150684935,5.953703703703703,-45.893150684931506,-29.068493150684933,7.947945205479452
Glasgow City,2021,GB-GLG,-34.131506849315066,-6.331506849315068,11.783561643835617,-52.013698630136986,-36.41095890410959,10.813698630136987
Gloucestershire,2021,GB-GLS,-22.246575342465754,-2.041095890410959,41.06301369863014,-24.326027397260273,-31.86027397260274,9.452054794520548
Greater London,2021,GB-BDG,-17.684931506849313,-1.9232876712328768,59.293150684931504,-33.90958904109589,-37.26575342465753,8.61917808219178
Greater London,2021,GB-BEN,-21.23835616438356,0.8,65.92054794520548,-38.03013698630137,-37.4,10.241095890410959
Greater London,2021,GB-BEX,-28.786301369863015,0.6931506849315069,38.06575342465754,-44.367123287671234,-37.09041095890411,11.427397260273972
Greater London,2021,GB-BNE,-25.6,-3.4493150684931506,46.06027397260274,-40.50684931506849,-39.54520547945206,12.317808219178081
Greater London,2021,GB-BRY,-24.893150684931506,0.8767123287671232,25.682191780821917,-43.632876712328766,-40.320547945205476,13.427397260273972
Greater London,2021,GB-CMD,-57.895890410958906,-25.96986301369863,10.257534246575343,-46.846575342465755,-46.25205479452055,14.624657534246575
Greater London,2021,GB-CRY,-25.65205479452055,1.347945205479452,38.90958904109589,-44.342465753424655,-34.676712328767124,11.728767123287671
Greater London,2021,GB-EAL,-22.12876712328767,-1.2821917808219179,53.23013698630137,-42.74246575342466,-38.276712328767125,11.057534246575342
Greater London,2021,GB-ENF,-24.397260273972602,-4.668493150684932,21.106849315068494,-44.0,-35.24109589041096,10.252054794520548
Greater London,2021,GB-GRE,-25.986301369863014,-2.0876712328767124,15.810958904109588,-34.26575342465753,-43.038356164383565,12.306849315068494
Greater London,2021,GB-HAV,-24.446575342465753,-2.0164383561643837,18.068493150684933,-33.657534246575345,-33.75616438356165,10.772602739726027
Greater London,2021,GB-HCK,-40.104109589041094,-1.7315068493150685,51.83561643835616,-45.824657534246576,-41.96986301369863,12.745205479452055
Greater London,2021,GB-HIL,-25.602739726027398,-4.704109589041096,67.4,-55.4986301369863,-35.276712328767125,10.734246575342466
Greater London,2021,GB-HMF,-44.558904109589044,-16.172602739726027,27.561643835616437,-44.64931506849315,-48.33698630136986,13.802739726027397
Greater London,2021,GB-HNS,-22.295890410958904,0.22465753424657534,39.07945205479452,-34.961643835616435,-33.54794520547945,10.4
Greater London,2021,GB-HRW,-23.443835616438356,3.5863013698630137,79.85123966942149,-34.46849315068493,-29.44109589041096,11.53972602739726
Greater London,2021,GB-HRY,-29.556164383561644,-9.663013698630136,28.084931506849315,-42.3041095890411,-46.96986301369863,11.805479452054794
Greater London,2021,GB-ISL,-53.58904109589041,-17.53150684931507,41.465753424657535,-67.52876712328766,-50.484931506849314,15.575342465753424
Greater London,2021,GB-KEC,-48.863013698630134,-2.0904109589041098,-0.6794520547945205,-53.12054794520548,-46.84109589041096,13.375342465753425
Greater London,2021,GB-KTT,-31.98904109589041,-9.857534246575343,61.10144927536232,-40.37260273972603,-39.73972602739726,13.331506849315069
Greater London,2021,GB-LBH,-41.320547945205476,-7.473972602739726,39.83835616438356,-48.57260273972603,-40.97260273972603,14.084931506849315
Greater London,2021,GB-LEW,-19.55890410958904,4.63013698630137,50.0027397260274,-39.4986301369863,-43.271232876712325,13.36986301369863
Greater London,2021,GB-LND,-70.24931506849315,-54.43013698630137,-67.01095890410959,-60.76712328767123,-56.16858237547893,
Greater London,2021,GB-MRT,-31.838356164383562,-9.473972602739726,24.339726027397262,-43.35616438356164,-39.85753424657534,12.76986301369863
Greater London,2021,GB-NWM,-32.15068493150685,-4.83013698630137,175.60714285714286,-39.98082191780822,-34.635616438356166,9.964383561643835
Greater London,2021,GB-RDB,-27.863013698630137,-3.052054794520548,17.03287671232877,-43.95890410958904,-42.827397260273976,10.926027397260274
Greater London,2021,GB-RIC,-27.923287671232877,1.641095890410959,33.484931506849314,-45.80821917808219,-50.85205479452055,14.131506849315068
Greater London,2021,GB-STN,-22.832876712328765,-5.104109589041096,44.07945205479452,-47.93424657534246,-42.178082191780824,12.172602739726027
Greater London,2021,GB-SWK,-40.12328767123287,-11.723287671232876,8.487671232876712,-46.81369863013698,-39.64931506849315,13.553424657534247
Greater London,2021,GB-TWH,-43.87945205479452,-10.67123287671233,-5.2684931506849315,-50.66027397260274,-46.205479452054796,14.104109589041096
Greater London,2021,GB-WFT,-14.717808219178082,-3.6767123287671235,22.69041095890411,-43.98082191780822,-42.40547945205479,11.276712328767124
Greater London,2021,GB-WND,-35.602739726027394,-10.860273972602739,29.813698630136987,-43.24109589041096,-42.846575342465755,15.323287671232876
Greater London,2021,GB-WSM,-58.298630136986304,-24.797260273972604,-25.632876712328766,-51.679452054794524,-47.961643835616435,13.728767123287671
Greater Manchester,2021,GB-BOL,-17.654794520547945,0.2273972602739726,21.682191780821917,-33.054794520547944,-26.980821917808218,8.419178082191781
Greater Manchester,2021,GB-BUR,-16.523287671232875,-0.9917808219178083,56.81944444444444,-31.41917808219178,-32.484931506849314,9.46027397260274
Greater Manchester,2021,GB-MAN,-33.87671232876713,-7.808219178082192,7.5479452054794525,-51.3041095890411,-35.09041095890411,9.772602739726027
Greater Manchester,2021,GB-OLD,-19.797260273972604,-0.33424657534246577,46.73829201101928,-30.44931506849315,-29.794520547945204,7.76986301369863
Greater Manchester,2021,GB-RCH,-15.723287671232876,-3.5315068493150683,49.52646239554318,-18.673972602739727,-20.295890410958904,8.265753424657534
Greater Manchester,2021,GB-SKP,-21.64109589041096,-1.7397260273972603,32.57260273972603,-45.26575342465753,-35.92876712328767,10.753424657534246
Greater Manchester,2021,GB-SLF,-14.153424657534247,-1.1123287671232878,37.295890410958904,-40.56712328767123,-32.88767123287671,9.673972602739726
Greater Manchester,2021,GB-TAM,-30.101369863013698,-3.4794520547945207,47.554016620498615,-27.887671232876713,-31.923287671232877,8.978082191780821
Greater Manchester,2021,GB-TRF,-23.65753424657534,-3.6,-15.704109589041096,-41.679452054794524,-39.88767123287671,11.756164383561643
Greater Manchester,2021,GB-WGN,-26.87945205479452,-1.926027397260274,53.6958904109589,-38.553424657534244,-29.676712328767124,8.386301369863014
Gwynedd,2021,GB-GWN,2.3972602739726026,19.843835616438355,75.73795180722891,-2.4684931506849317,-22.46301369863014,6.517045454545454
Hampshire,2021,GB-HAM,-23.50958904109589,1.082191780821918,40.64109589041096,-24.923287671232877,-29.553424657534247,10.465753424657533
Hartlepool,2021,GB-HPL,-26.312328767123287,-2.0383561643835617,,-25.956164383561642,-21.96986301369863,7.562300319488818
Herefordshire,2021,GB-HEF,-16.854794520547944,-1.106849315068493,44.917808219178085,-32.73150684931507,-23.356164383561644,6.947945205479452
Hertfordshire,2021,GB-HRT,-25.813698630136987,-2.5013698630136987,25.2986301369863,-39.63013698630137,-34.83287671232877,11.558904109589042
Highland Council,2021,GB-HLD,-3.621917808219178,6.46027397260274,105.47945205479452,-21.824657534246576,-28.328767123287673,6.49041095890411
Inverclyde,2021,GB-IVC,-19.567123287671233,1.8986301369863015,-48.0,-18.044728434504794,-31.512328767123286,10.831417624521073
Isle of Anglesey,2021,GB-AGY,-13.780219780219781,11.192691029900333,27.893023255813954,-19.065753424657533,-25.578082191780823,7.789272030651341
Isle of Wight,2021,GB-IOW,1.610958904109589,17.482191780821918,68.58974358974359,-0.5287671232876713,-19.413698630136988,6.701369863013698
Kent,2021,GB-KEN,-19.487671232876714,3.6301369863013697,30.09041095890411,-31.66849315068493,-27.90958904109589,9.304109589041095
Kingston upon Hull,2021,GB-KHL,-28.23835616438356,-1.6684931506849314,18.906077348066297,-26.087671232876712,-23.101369863013698,6.542465753424658
Lancashire,2021,GB-LAN,-19.44109589041096,-0.07671232876712329,60.45479452054794,-27.312328767123287,-27.068493150684933,8.26027397260274
Leicester,2021,GB-LCE,-30.71232876712329,-5.435616438356164,53.5989010989011,-32.43561643835616,-26.734246575342464,7.742465753424658
Leicestershire,2021,GB-LEC,-19.86027397260274,-0.31232876712328766,39.95616438356164,-30.86849315068493,-33.30684931506849,9.402739726027397
Lincolnshire,2021,GB-LIN,-10.827397260273973,12.93972602739726,98.28493150684932,-24.97808219178082,-20.024657534246575,7.101369863013699
Lisburn and Castlereagh,2021,GB-LBC,-18.980821917808218,2.6164383561643834,-6.166666666666667,-24.551724137931036,-32.75890410958904,10.326027397260274
Luton,2021,GB-LUT,-18.96712328767123,-3.3753424657534246,-21.0,-53.534246575342465,-22.632876712328766,8.101369863013698
Medway,2021,GB-MDW,-22.55068493150685,2.263013698630137,36.14835164835165,-32.31232876712329,-32.16712328767123,9.202739726027398
Merseyside,2021,GB-KWL,-29.76164383561644,18.312328767123287,10.54639175257732,-46.345205479452055,-22.216438356164385,8.315068493150685
Merseyside,2021,GB-LIV,-25.742465753424657,-6.0849315068493155,-4.016438356164383,-42.83287671232877,-34.326027397260276,8.783561643835617
Merseyside,2021,GB-SFT,-20.03013698630137,-0.9698630136986301,34.85479452054795,-38.136986301369866,-34.21917808219178,9.136986301369863
Merseyside,2021,GB-SHN,-20.076712328767123,-7.786301369863014,45.33972602739726,-36.082191780821915,-32.912328767123284,8.372602739726027
Merseyside,2021,GB-WRL,-21.03287671232877,-5.241095890410959,35.76712328767123,-34.81369863013698,-30.54794520547945,8.797260273972602
Merthyr Tydfil County Borough,2021,GB-MTY,-21.10958904109589,-0.5287671232876713,,-30.54983922829582,-29.504109589041096,8.82375478927203
Mid Ulster,2021,GB-MUL,-14.35890410958904,4.950684931506849,,-37.92876712328767,-21.03287671232877,6.090909090909091
Mid and East Antrim,2021,GB-MEA,-14.005479452054795,11.093150684931507,15.647058823529411,-15.92876712328767,-27.71780821917808,8.331506849315069
Middlesbrough,2021,GB-MDB,-22.747945205479454,4.654794520547945,2.3214285714285716,-37.26849315068493,-21.12876712328767,6.463013698630137
Midlothian,2021,GB-MLN,-15.816438356164383,10.526027397260274,11.467532467532468,-30.942465753424656,-32.131506849315066,10.568181818181818
Milton Keynes,2021,GB-MIK,-22.934246575342467,-6.156164383561644,25.312328767123287,-37.79178082191781,-30.852054794520548,10.506849315068493
Monmouthshire,2021,GB-MON,-11.663013698630136,-6.583561643835616,16.049586776859503,-7.092178770949721,-34.18904109589041,10.731800766283525
Moray,2021,GB-MRY,-10.8,-2.180821917808219,23.1699604743083,-31.319488817891372,-29.2986301369863,6.511475409836065
Neath Port Talbot Principle Area,2021,GB-NTL,-15.421917808219177,24.24931506849315,20.708333333333332,-52.47397260273973,-25.410958904109588,7.83013698630137
Newport,2021,GB-NWP,-22.32054794520548,-1.284931506849315,18.165178571428573,-34.6958904109589,-29.78904109589041,9.063013698630137
"Newry, Mourne and Down",2021,GB-NMD,-9.857534246575343,18.273972602739725,26.166666666666668,-30.265753424657536,-24.432876712328767,7.698630136986301
Norfolk,2021,GB-NFK,-15.391780821917807,4.553424657534246,71.08219178082192,-34.35342465753425,-24.005479452054793,7.901369863013699
North Ayrshire Council,2021,GB-NAY,-10.4,14.673972602739726,-0.5416666666666666,-4.038356164383561,-27.893150684931506,8.013698630136986
North East Lincolnshire,2021,GB-NEL,-16.81095890410959,1.547945205479452,25.15868263473054,-8.07945205479452,-21.654794520547945,5.887671232876713
North Lanarkshire,2021,GB-NLK,-15.621917808219179,-1.8082191780821917,,-35.635616438356166,-24.73972602739726,9.101369863013698
North Lincolnshire,2021,GB-NLN,-17.676712328767124,7.3863013698630136,3.372602739726027,-22.65753424657534,-22.91780821917808,6.435616438356164
North Somerset,2021,GB-NSM,-16.93972602739726,3.7945205479452055,47.68219178082192,-42.443835616438356,-27.487671232876714,9.652054794520549
North Yorkshire,2021,GB-NYK,-12.830136986301369,5.802739726027397,73.84383561643835,-5.701369863013698,-34.26027397260274,8.158904109589042
Northamptonshire,2021,GB-NTH,-22.997260273972604,-2.1424657534246574,-3.791780821917808,-34.35342465753425,-25.734246575342464,8.542465753424658
Northumberland,2021,GB-NBL,-13.128767123287671,11.202739726027398,87.4876712328767,-25.054794520547944,-27.4986301369863,7.657534246575342
Nottingham,2021,GB-NGM,-39.62465753424657,-4.227397260273973,72.70798898071625,-45.487671232876714,-33.37534246575343,8.421917808219177
Nottinghamshire,2021,GB-NTT,-20.734246575342464,-2.2273972602739724,25.326027397260273,-25.81095890410959,-24.898630136986302,8.578082191780823
Orkney,2021,GB-ORK,,,,-72.0,-26.739463601532567,
Oxfordshire,2021,GB-OXF,-27.24109589041096,-4.147945205479452,25.84109589041096,-34.221917808219175,-35.1945205479452,11.252054794520548
Pembrokeshire,2021,GB-PEM,4.082191780821918,29.296703296703296,106.45625,-33.260989010989015,-21.512328767123286,5.973988439306359
Perth and Kinross,2021,GB-PKN,-19.38082191780822,-3.326027397260274,45.044077134986225,-27.232876712328768,-32.49041095890411,8.372602739726027
Peterborough,2021,GB-PTE,-28.21095890410959,1.8712328767123287,-6.9523809523809526,-39.54246575342466,-26.153424657534245,7.610958904109589
Plymouth,2021,GB-PLY,-26.693150684931506,-3.2958904109589042,46.778082191780825,-21.77260273972603,-24.726027397260275,7.67945205479452
Portsmouth,2021,GB-POR,-23.827397260273973,-7.120547945205479,32.483253588516746,-20.693150684931506,-35.38630136986301,8.849315068493151
Powys,2021,GB-POW,-5.1808219178082195,7.67945205479452,65.56473829201101,-41.32876712328767,-22.0986301369863,6.819047619047619
Reading,2021,GB-RDG,-31.432876712328767,0.9041095890410958,30.83937823834197,-51.81643835616438,-38.136986301369866,13.032876712328767
Redcar and Cleveland,2021,GB-RCC,-22.44931506849315,3.767123287671233,3.8045112781954886,-30.82191780821918,-24.43013698630137,6.983561643835617
Renfrewshire,2021,GB-RFW,-25.24109589041096,18.13150684931507,22.270833333333332,-49.35632183908046,-31.846575342465755,10.213698630136987
Rhondda Cynon Taff,2021,GB-RCT,-18.684931506849313,3.6054794520547944,19.619926199261993,-42.679452054794524,-24.002739726027396,8.219178082191782
Rutland,2021,GB-RUT,-39.95744680851064,,-51.55555555555556,,-32.95297805642633,7.48
Scottish Borders,2021,GB-SCB,-7.63013698630137,2.56986301369863,41.47138047138047,-38.26301369863014,-28.326027397260273,7.252199413489736
Shetland Islands,2021,GB-ZET,,,,-40.166666666666664,-27.553435114503817,
Shropshire,2021,GB-TFW,-11.512328767123288,9.978082191780821,50.23545706371191,-32.97808219178082,-16.095890410958905,8.189041095890412
Slough,2021,GB-SLG,-22.065753424657533,-15.780821917808218,19.505,-43.52328767123288,-34.38082191780822,10.145205479452056
Somerset,2021,GB-SOM,-16.832876712328765,6.6219178082191785,65.08493150684932,-2.8273972602739725,-26.279452054794522,7.7534246575342465
South Ayrshire Council,2021,GB-SAY,-15.150684931506849,4.652054794520548,10.790849673202615,-25.164383561643834,-28.268493150684932,8.048433048433049
South Gloucestershire,2021,GB-SGC,-22.684931506849313,3.5397260273972604,56.36914600550964,-43.0986301369863,-31.03013698630137,10.876712328767123
South Lanarkshire,2021,GB-SLK,-11.945205479452055,6.287671232876712,60.320754716981135,-25.101369863013698,-25.167123287671235,9.67945205479452
South Yorkshire,2021,GB-BNS,-22.23013698630137,-1.0547945205479452,40.84109589041096,-25.72876712328767,-25.44109589041096,7.534246575342466
South Yorkshire,2021,GB-DNC,-15.495890410958904,1.8246575342465754,26.926027397260274,-42.40821917808219,-27.87123287671233,6.917808219178082
South Yorkshire,2021,GB-ROT,-15.468493150684932,2.1397260273972605,31.50958904109589,-30.043835616438358,-24.01095890410959,7.934246575342466
South Yorkshire,2021,GB-SHF,-25.997260273972604,1.3616438356164384,20.797260273972604,-39.00821917808219,-32.80821917808219,9.402739726027397
Southampton,2021,GB-STH,-32.24657534246575,-2.350684931506849,12.871232876712329,-38.413698630136984,-38.704109589041096,9.408219178082192
Southend-on-Sea,2021,GB-SOS,-22.30958904109589,4.093150684931507,38.386617100371744,-44.443835616438356,-33.558904109589044,10.002739726027396
Staffordshire,2021,GB-STS,-15.824657534246576,-1.106849315068493,27.624657534246577,-18.93972602739726,-28.572602739726026,8.345205479452055
Stirling,2021,GB-STG,-24.698630136986303,8.432876712328767,32.85164835164835,-38.87945205479452,-36.43561643835616,11.593869731800766
Stockton-on-Tees,2021,GB-STT,-22.528767123287672,10.797260273972602,18.15015015015015,-35.37808219178082,-25.92054794520548,8.0
Stoke-on-Trent,2021,GB-STE,-21.487671232876714,2.2164383561643834,24.588014981273407,-39.69041095890411,-24.46301369863014,6.978082191780822
Suffolk,2021,GB-SFK,-19.953424657534246,2.76986301369863,41.342465753424655,-30.364383561643837,-29.410958904109588,8.364383561643836
Surrey,2021,GB-SRY,-25.35890410958904,-2.106849315068493,25.39178082191781,-38.35616438356164,-36.038356164383565,12.213698630136987
Swansea,2021,GB-SWA,-22.82191780821918,-0.34794520547945207,57.99373040752351,-40.9972602739726,-33.28493150684932,8.852054794520548
Swindon,2021,GB-SWD,-24.876712328767123,-6.917808219178082,12.5,-40.53150684931507,-31.594520547945205,9.542465753424658
Thurrock,2021,GB-THR,-23.553424657534247,-6.068493150684931,1.452054794520548,-25.745205479452054,-32.221917808219175,8.92876712328767
Torbay,2021,GB-TOB,-8.597260273972603,18.07945205479452,76.09748427672956,-13.517808219178082,-22.33150684931507,6.920547945205479
Torfaen Principal Area,2021,GB-TOF,-21.4986301369863,0.11506849315068493,,-43.6958904109589,-24.813698630136987,9.227848101265822
Tyne and Wear,2021,GB-GAT,-23.167123287671235,2.6246575342465754,49.88101983002833,-43.1013698630137,-29.72876712328767,9.276712328767124
Tyne and Wear,2021,GB-NET,-32.8027397260274,-3.052054794520548,52.75342465753425,-43.97260273972603,-35.084931506849315,9.764383561643836
Tyne and Wear,2021,GB-NTY,-15.504109589041096,5.879452054794521,-33.1013698630137,-42.47397260273973,-30.816438356164383,10.07945205479452
Tyne and Wear,2021,GB-SND,-25.41917808219178,1.1315068493150684,12.424657534246576,-27.16986301369863,-30.23835616438356,8.191780821917808
Tyne and Wear,2021,GB-STY,-23.326027397260273,-1.1013698630136985,14.35890410958904,-21.5013698630137,-33.06849315068493,8.32054794520548
Vale of Glamorgan,2021,GB-VGL,-1.126027397260274,9.805479452054794,26.84175084175084,-36.1013698630137,-33.013698630136986,9.67945205479452
Warrington,2021,GB-WRT,-26.30958904109589,-0.5671232876712329,48.20168067226891,-33.56164383561644,-32.465753424657535,9.36986301369863
